"","Nest","maxclutch","year","site"
"432","TLM093",6,1997,"kig"
"433","TLM094",6,1997,"kig"
"434","TLM095",3,1997,"kig"
"435","TLM100",5,1997,"kig"
"436","TLM101",4,1997,"kig"
"437","TLM103",4,1997,"kig"
"438","TLM104",5,1997,"kig"
"439","WSK001",4,1997,"kig"
"440","DAM001",4,1998,"kig"
"441","DAM002",5,1998,"kig"
"442","ECH001",4,1998,"kig"
"443","GJH001",4,1998,"kig"
"444","GJH002",4,1998,"kig"
"445","GJH003",4,1998,"kig"
"446","GJH007",6,1998,"kig"
"447","KLW002",6,1998,"kig"
"448","KLW007",6,1998,"kig"
"449","KLW012",3,1998,"kig"
"450","KLW013",5,1998,"kig"
"451","KLW014",5,1998,"kig"
"452","KLW017",4,1998,"kig"
"453","KLW018",4,1998,"kig"
"454","KLW026",5,1998,"kig"
"455","KLW028",5,1998,"kig"
"456","KLW030",6,1998,"kig"
"457","KLW031",4,1998,"kig"
"458","KLW032",5,1998,"kig"
"459","KLW033",4,1998,"kig"
"460","KLW034",5,1998,"kig"
"461","KLW035",6,1998,"kig"
"462","KLW037",4,1998,"kig"
"463","KLW039",5,1998,"kig"
"464","KLW041",2,1998,"kig"
"465","KLW042",5,1998,"kig"
"466","KLW043",5,1998,"kig"
"467","KLW044",2,1998,"kig"
"468","KLW045",5,1998,"kig"
"469","KLW052",6,1998,"kig"
"470","RMA001",5,1998,"kig"
"471","TLM015",5,1998,"kig"
"472","TLM020",5,1998,"kig"
"473","TLM021",5,1998,"kig"
"474","TLM026",6,1998,"kig"
"475","TLM027",5,1998,"kig"
"476","TLM029",4,1998,"kig"
"477","TLM030",4,1998,"kig"
"478","TLM033",4,1998,"kig"
"479","TLM034",5,1998,"kig"
"480","TLM040",5,1998,"kig"
"481","TLM042",5,1998,"kig"
"482","TLM043",3,1998,"kig"
"483","TLM045",3,1998,"kig"
"484","TLM046",4,1998,"kig"
"485","TLM056",5,1998,"kig"
"486","TLM059",6,1998,"kig"
"487","TLM060",5,1998,"kig"
"488","TLM061",5,1998,"kig"
"489","TLM062",5,1998,"kig"
"490","TLM067",4,1998,"kig"
"491","TLM068",3,1998,"kig"
"492","TLM070",4,1998,"kig"
"493","TLM073",5,1998,"kig"
"494","TLM074",4,1998,"kig"
"495","TLM077",4,1998,"kig"
"496","TLM078",3,1998,"kig"
"497","TLM079",5,1998,"kig"
"498","TLM080",3,1998,"kig"
"499","TLM082",5,1998,"kig"
"500","TLM083",5,1998,"kig"
"501","TLM086",5,1998,"kig"
"502","TLM089",5,1998,"kig"
"503","TLM094",5,1998,"kig"
"504","TLM095",3,1998,"kig"
"505","TLM096",5,1998,"kig"
"506","TLM097",5,1998,"kig"
"507","TLM098",5,1998,"kig"
"508","TLM100",5,1998,"kig"
"509","TLM102",5,1998,"kig"
"510","TLM103",4,1998,"kig"
"511","TLM104",3,1998,"kig"
"512","TLM105",5,1998,"kig"
"513","TLM106",5,1998,"kig"
"514","TLM107",5,1998,"kig"
"515","TLM109",4,1998,"kig"
"516","TLM112",2,1998,"kig"
"517","TLM113",5,1998,"kig"
"518","TLM117",4,1998,"kig"
"519","TLM118",3,1998,"kig"
"520","TLM123",5,1998,"kig"
